Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.020000	0.690863	0.691677	0.529114	0.553030	
0.020000	0.692684	0.681622	0.532911	0.566288	
0.020000	0.690152	0.675964	0.539241	0.566288	
0.020000	0.677759	0.651994	0.545570	0.617424	
0.020000	0.645877	0.891713	0.637975	0.566288	
0.020000	0.683056	0.693091	0.582278	0.528409	
0.020000	0.693787	0.688487	0.544304	0.632576	
0.020000	0.665640	0.727611	0.603797	0.566288	
0.020000	0.629601	0.619756	0.641772	0.581439	
0.020000	0.616707	0.813433	0.659494	0.566288	
0.020000	0.623871	0.485668	0.665823	0.780303	
0.020000	0.571914	0.484613	0.706329	0.818182	
0.020000	0.571533	0.446815	0.716456	0.812500	
0.020000	0.510527	0.605068	0.734177	0.664773	
0.020000	0.573011	0.571477	0.725316	0.725379	
0.020000	0.599231	0.360282	0.673418	0.852273	
0.020000	0.545258	0.580694	0.763291	0.784091	
0.020000	0.518896	0.677582	0.769620	0.647727	
0.020000	0.498968	0.604878	0.796203	0.695076	
0.020000	0.461605	0.508753	0.805063	0.765152	
0.020000	0.499931	0.435083	0.778481	0.808712	
0.020000	0.570569	0.676067	0.708861	0.566288	
0.020000	0.526005	1.810266	0.743038	0.606061	
0.020000	0.497493	0.473117	0.786076	0.820076	
0.020000	0.471992	0.620796	0.806329	0.833333	
0.020000	0.550054	0.680519	0.765823	0.515152	
0.020000	0.529854	0.332102	0.777215	0.884470	
0.020000	0.441538	0.452385	0.822785	0.806818	
0.020000	0.474514	0.659136	0.791139	0.719697	
0.020000	0.416252	1.037237	0.831646	0.626894	
0.020000	0.496981	0.599168	0.753165	0.729167	
0.020000	0.579572	0.408777	0.702532	0.852273	
0.020000	0.425417	0.337606	0.813924	0.880682	
0.020000	0.419037	0.483571	0.825316	0.797348	
0.020000	0.414613	0.657368	0.827848	0.687500	
0.020000	0.490901	0.416518	0.783544	0.839015	
0.020000	0.390475	0.338830	0.849367	0.876894	
0.020000	0.408062	0.346317	0.829114	0.873106	
0.020000	0.425895	0.743001	0.808861	0.443182	
0.020000	0.476876	0.476462	0.781013	0.785985	
0.002000	0.366954	0.315743	0.845570	0.895833	
0.002000	0.345870	0.284242	0.855696	0.895833	
0.002000	0.344826	0.283346	0.863291	0.890152	
0.002000	0.315262	0.269614	0.879747	0.897727	
0.002000	0.327629	0.282124	0.870886	0.884470	
0.002000	0.311533	0.265590	0.870886	0.899621	
0.002000	0.306434	0.270392	0.878481	0.901515	
0.002000	0.309858	0.273817	0.877215	0.895833	
0.002000	0.303468	0.265796	0.878481	0.897727	
0.002000	0.319072	0.270158	0.873418	0.892045	
0.002000	0.301205	0.273432	0.882278	0.893939	
0.002000	0.307255	0.260723	0.875949	0.909091	
0.002000	0.311000	0.271198	0.869620	0.907197	
0.002000	0.292827	0.271316	0.886076	0.899621	
0.002000	0.301375	0.262574	0.882278	0.901515	
0.002000	0.302124	0.257197	0.888608	0.910985	
0.002000	0.288957	0.260561	0.887342	0.903409	
0.002000	0.294955	0.257632	0.884810	0.916667	
0.002000	0.299323	0.259705	0.883544	0.907197	
0.002000	0.296465	0.262992	0.877215	0.901515	
0.002000	0.290423	0.266178	0.888608	0.901515	
0.002000	0.302073	0.271190	0.877215	0.901515	
0.002000	0.260749	0.257298	0.900000	0.901515	
0.002000	0.278538	0.262258	0.888608	0.912879	
0.002000	0.294293	0.267199	0.887342	0.909091	
0.002000	0.299999	0.269398	0.878481	0.903409	
0.002000	0.276798	0.262847	0.892405	0.916667	
0.002000	0.303446	0.262618	0.874684	0.899621	
0.002000	0.277553	0.278946	0.903797	0.895833	
0.002000	0.283263	0.254553	0.886076	0.905303	
0.000200	0.296379	0.252058	0.879747	0.905303	
0.000200	0.274734	0.251255	0.893671	0.907197	
0.000200	0.281217	0.253064	0.878481	0.905303	
0.000200	0.282845	0.258144	0.886076	0.901515	
0.000200	0.269155	0.252343	0.897468	0.907197	
0.000200	0.267223	0.253542	0.893671	0.903409	
0.000200	0.281284	0.249150	0.886076	0.910985	
0.000200	0.263280	0.251082	0.894937	0.909091	
0.000200	0.278180	0.254050	0.887342	0.909091	
0.000200	0.264951	0.252221	0.897468	0.909091	
0.000200	0.277010	0.253690	0.894937	0.909091	
0.000200	0.257252	0.252477	0.907595	0.910985	
0.000200	0.276325	0.251290	0.894937	0.903409	
0.000200	0.278521	0.251331	0.882278	0.916667	
0.000200	0.268091	0.250158	0.887342	0.920455	
0.000200	0.267725	0.252588	0.902532	0.905303	
0.000200	0.279267	0.252591	0.877215	0.914773	
0.000200	0.282791	0.248117	0.887342	0.914773	
