Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.020000	0.691402	0.690913	0.537580	0.555344	
0.020000	0.681739	0.674300	0.559236	0.633588	
0.020000	0.682907	0.674978	0.569427	0.561069	
0.020000	0.705483	0.686607	0.513376	0.555344	
0.020000	0.670037	0.646138	0.588535	0.614504	
0.020000	0.667213	0.642936	0.603822	0.624046	
0.020000	0.663796	0.649811	0.607643	0.635496	
0.020000	0.671221	0.749641	0.571975	0.454198	
0.020000	0.656668	0.648138	0.619108	0.667939	
0.020000	0.657026	0.712451	0.631847	0.555344	
0.020000	0.644760	0.623176	0.634395	0.681298	
0.020000	0.638023	0.741938	0.659873	0.555344	
0.020000	0.653602	0.633267	0.617834	0.706107	
0.020000	0.637100	0.724553	0.656051	0.555344	
0.020000	0.665201	0.675780	0.607643	0.576336	
0.020000	0.657451	0.580560	0.630573	0.694656	
0.020000	0.638930	0.708640	0.643312	0.526718	
0.020000	0.640528	0.623242	0.658599	0.643130	
0.020000	0.636510	0.575601	0.633121	0.725191	
0.020000	0.626964	0.578201	0.642038	0.673664	
0.020000	0.610926	0.503536	0.664968	0.788168	
0.020000	0.604171	0.924682	0.672611	0.562977	
0.020000	0.626750	0.644101	0.653503	0.671756	
0.020000	0.666646	0.804379	0.600000	0.555344	
0.020000	0.629125	0.546245	0.667516	0.717557	
0.020000	0.577122	1.040516	0.682803	0.555344	
0.020000	0.620481	0.729595	0.680255	0.559160	
0.020000	0.598590	0.649608	0.692994	0.635496	
0.020000	0.602232	0.701801	0.689172	0.582061	
0.020000	0.588356	0.705424	0.700637	0.587786	
0.020000	0.593146	0.606023	0.695541	0.666031	
0.020000	0.599606	0.615543	0.685350	0.601145	
0.020000	0.574001	0.474374	0.715924	0.774809	
0.020000	0.586247	0.486330	0.687898	0.776718	
0.020000	0.563398	0.595371	0.713376	0.734733	
0.020000	0.547861	0.460470	0.750318	0.786260	
0.020000	0.558909	0.458355	0.722293	0.807252	
0.020000	0.571234	0.470548	0.755414	0.833969	
0.020000	0.575083	0.469026	0.726115	0.786260	
0.020000	0.548075	0.470986	0.745223	0.803435	
0.002000	0.586977	0.427291	0.718471	0.828244	
0.002000	0.541260	0.389481	0.736306	0.870229	
0.002000	0.518742	0.389212	0.745223	0.841603	
0.002000	0.504367	0.418816	0.766879	0.805344	
0.002000	0.503309	0.412914	0.754140	0.812977	
0.002000	0.501399	0.359610	0.755414	0.854962	
0.002000	0.488695	0.328827	0.774522	0.885496	
0.002000	0.484746	0.329299	0.779618	0.887405	
0.002000	0.492039	0.366970	0.750318	0.843511	
0.002000	0.458996	0.331791	0.788535	0.856870	
0.002000	0.490931	0.330861	0.778344	0.868321	
0.002000	0.450496	0.326088	0.793631	0.872137	
0.002000	0.441415	0.319848	0.798726	0.875954	
