Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.020000	0.689499	0.681168	0.554348	0.577236	
0.020000	0.682320	0.684040	0.581522	0.577236	
0.020000	0.683749	0.682882	0.581522	0.577236	
0.020000	0.683572	0.681359	0.581522	0.577236	
0.020000	0.678429	0.687275	0.573370	0.577236	
0.020000	0.685811	0.678679	0.581522	0.577236	
0.020000	0.682807	0.678741	0.581522	0.577236	
0.020000	0.681827	0.675016	0.581522	0.577236	
0.020000	0.681409	0.678134	0.581522	0.577236	
0.020000	0.682757	0.678744	0.578804	0.577236	
0.020000	0.677624	0.675676	0.581522	0.577236	
0.020000	0.679149	0.671936	0.581522	0.577236	
0.020000	0.673771	0.718218	0.567935	0.577236	
0.020000	0.684312	0.683965	0.586957	0.560976	
0.020000	0.681555	0.678423	0.581522	0.569106	
0.020000	0.682302	0.670878	0.584239	0.601626	
0.020000	0.668656	0.668569	0.584239	0.597561	
0.020000	0.669889	0.686223	0.608696	0.577236	
0.020000	0.673497	0.682214	0.597826	0.597561	
0.020000	0.674999	0.702033	0.573370	0.577236	
0.020000	0.675987	0.673931	0.603261	0.589431	
0.020000	0.682771	0.675174	0.567935	0.577236	
0.020000	0.673938	0.659555	0.586957	0.565041	
0.020000	0.659819	0.685092	0.622283	0.585366	
0.020000	0.662390	0.738227	0.595109	0.589431	
0.020000	0.651384	0.739550	0.646739	0.617886	
0.020000	0.673135	0.728590	0.592391	0.577236	
0.020000	0.650532	0.743055	0.595109	0.487805	
0.020000	0.643358	0.661313	0.619565	0.577236	
0.020000	0.670767	0.650421	0.592391	0.581301	
0.020000	0.631018	3.158629	0.676630	0.422764	
0.020000	0.674393	0.612855	0.584239	0.658537	
0.020000	0.647262	0.649408	0.625000	0.626016	
0.020000	0.650018	0.726565	0.627717	0.613821	
0.020000	0.630311	0.634811	0.652174	0.605691	
0.020000	0.619294	0.869247	0.676630	0.577236	
0.020000	0.639955	0.657416	0.622283	0.699187	
0.020000	0.634659	0.633882	0.627717	0.617886	
0.020000	0.602632	0.622281	0.671196	0.601626	
0.020000	0.620338	1.661395	0.654891	0.422764	
0.002000	0.584415	0.527747	0.701087	0.792683	
0.002000	0.590659	0.481236	0.687500	0.808943	
0.002000	0.596876	0.504680	0.687500	0.804878	
0.002000	0.551512	0.503941	0.703804	0.784553	
0.002000	0.572987	0.453952	0.706522	0.808943	
0.002000	0.580738	0.447482	0.671196	0.821138	
0.002000	0.557921	0.428001	0.668478	0.825203	
0.002000	0.556738	0.423457	0.701087	0.829268	
0.002000	0.541186	0.419529	0.684783	0.837398	
0.002000	0.562415	0.451960	0.701087	0.817073	
0.002000	0.536273	0.441055	0.722826	0.845528	
0.002000	0.537305	0.627589	0.741848	0.699187	
0.002000	0.565234	0.488522	0.720109	0.792683	
0.002000	0.540984	0.454962	0.744565	0.796748	
0.002000	0.561495	0.421951	0.722826	0.829268	
0.002000	0.537182	0.434284	0.728261	0.800813	
0.002000	0.533880	0.376011	0.736413	0.849593	
0.002000	0.585571	0.410677	0.682065	0.821138	
0.002000	0.499316	0.415104	0.769022	0.829268	
0.002000	0.516124	0.498322	0.760870	0.776423	
0.002000	0.521623	0.482312	0.720109	0.788618	
0.002000	0.507191	0.442398	0.744565	0.833333	
0.002000	0.466656	0.379357	0.752717	0.849593	
0.002000	0.526255	0.372217	0.739130	0.865854	
0.002000	0.493994	0.435053	0.769022	0.800813	
0.002000	0.512018	0.439004	0.741848	0.804878	
0.002000	0.495801	0.517770	0.747283	0.800813	
0.002000	0.488949	0.405812	0.769022	0.808943	
0.002000	0.504018	0.477462	0.752717	0.817073	
0.002000	0.495206	0.352084	0.739130	0.873984	
0.000200	0.473397	0.354776	0.744565	0.873984	
0.000200	0.481014	0.354037	0.747283	0.873984	
0.000200	0.486393	0.354775	0.752717	0.873984	
0.000200	0.456650	0.390173	0.801630	0.853659	
0.000200	0.483110	0.349021	0.766304	0.857724	
0.000200	0.479566	0.343686	0.766304	0.865854	
0.000200	0.472046	0.361128	0.771739	0.849593	
0.000200	0.466474	0.348192	0.755435	0.865854	
0.000200	0.432649	0.333485	0.804348	0.869919	
