Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.020000	0.694189	0.691811	0.510828	0.532443	
0.020000	0.560158	1.495070	0.745223	0.652672	
0.020000	0.461975	1.010786	0.807643	0.467557	
0.020000	0.424533	0.124714	0.825478	0.969466	
0.020000	0.371457	0.262608	0.849682	0.908397	
0.020000	0.380745	2.948825	0.836943	0.467557	
0.020000	0.308507	0.413012	0.871338	0.803435	
0.020000	0.316757	0.194482	0.864968	0.959924	
0.020000	0.307407	0.096438	0.876433	0.977099	
0.020000	0.293066	0.439854	0.871338	0.786260	
0.020000	0.279125	0.173569	0.891720	0.956107	
0.020000	0.319751	0.052689	0.866242	0.984733	
0.020000	0.283881	0.530172	0.891720	0.818702	
0.020000	0.297135	0.138801	0.889172	0.954198	
0.020000	0.254719	0.178173	0.912102	0.958015	
0.020000	0.231165	0.300236	0.915924	0.851145	
0.020000	0.241204	0.145819	0.910828	0.952290	
0.020000	0.280303	0.060743	0.891720	0.979008	
0.020000	0.229139	1.993675	0.900637	0.503817	
0.020000	0.262949	0.035663	0.881529	0.990458	
0.020000	0.243097	0.045721	0.901911	0.980916	
0.020000	0.199730	0.092705	0.915924	0.965649	
0.020000	0.171606	0.067616	0.928662	0.975191	
0.020000	0.234248	0.322379	0.909554	0.895038	
0.020000	0.242179	0.046410	0.914650	0.982824	
0.020000	0.216573	0.062345	0.910828	0.980916	
0.020000	0.213411	0.062546	0.929936	0.973282	
0.020000	0.156703	0.105786	0.942675	0.971374	
0.020000	0.170655	0.063764	0.940127	0.977099	
0.020000	0.129739	0.096800	0.954140	0.969466	
0.020000	0.196647	0.335989	0.924841	0.843511	
0.020000	0.221392	0.047572	0.910828	0.984733	
0.020000	0.169747	0.604182	0.938854	0.770992	
0.020000	0.188892	0.161256	0.932484	0.950382	
0.020000	0.203880	0.039256	0.929936	0.984733	
0.020000	0.146210	0.071054	0.957962	0.971374	
0.020000	0.142638	0.377656	0.961783	0.877863	
0.020000	0.128731	0.025947	0.950318	0.988550	
0.020000	0.093674	0.061499	0.961783	0.982824	
0.020000	0.126313	0.033915	0.963057	0.986641	
0.002000	0.090441	0.019980	0.964331	0.996183	
0.002000	0.082522	0.021398	0.970701	0.996183	
0.002000	0.065652	0.026762	0.973248	0.996183	
0.002000	0.062720	0.023583	0.977070	0.996183	
0.002000	0.064864	0.022238	0.979618	0.994275	
0.002000	0.070435	0.032913	0.978344	0.988550	
0.002000	0.063055	0.026432	0.978344	0.994275	
0.002000	0.070941	0.024937	0.977070	0.994275	
0.002000	0.060424	0.033583	0.982166	0.992366	
0.002000	0.042206	0.024831	0.985987	0.996183	
0.002000	0.049239	0.024580	0.983439	0.992366	
0.002000	0.042135	0.031340	0.983439	0.992366	
0.002000	0.041469	0.030720	0.984713	0.996183	
0.002000	0.053173	0.028916	0.983439	0.994275	
0.002000	0.040871	0.026448	0.985987	0.994275	
0.002000	0.028021	0.025079	0.989809	0.992366	
0.002000	0.039502	0.026932	0.985987	0.996183	
0.002000	0.045452	0.043367	0.985987	0.988550	
0.002000	0.038137	0.027205	0.982166	0.994275	
0.002000	0.031199	0.026561	0.988535	0.994275	
0.002000	0.034884	0.027550	0.987261	0.994275	
0.002000	0.042941	0.022885	0.982166	0.992366	
0.002000	0.037543	0.036473	0.983439	0.990458	
0.002000	0.046142	0.038269	0.979618	0.986641	
0.002000	0.043707	0.026454	0.984713	0.994275	
0.002000	0.044590	0.027082	0.989809	0.992366	
0.002000	0.033527	0.035238	0.983439	0.988550	
0.002000	0.036940	0.027098	0.985987	0.994275	
0.002000	0.052571	0.026497	0.980892	0.992366	
0.002000	0.034613	0.026932	0.984713	0.994275	
0.000200	0.035267	0.027039	0.982166	0.994275	
0.000200	0.027399	0.026765	0.987261	0.994275	
0.000200	0.040027	0.027823	0.987261	0.994275	
0.000200	0.031432	0.028280	0.989809	0.994275	
0.000200	0.031853	0.025943	0.984713	0.996183	
0.000200	0.039735	0.026447	0.980892	0.996183	
0.000200	0.028121	0.027839	0.985987	0.994275	
0.000200	0.031840	0.028427	0.985987	0.996183	
0.000200	0.024011	0.028843	0.994904	0.996183	
0.000200	0.033786	0.027391	0.988535	0.996183	
0.000200	0.026471	0.022299	0.989809	0.996183	
0.000200	0.044166	0.023593	0.985987	0.994275	
0.000200	0.020043	0.029569	0.994904	0.994275	
0.000200	0.042382	0.024335	0.982166	0.996183	
0.000200	0.027893	0.031085	0.988535	0.994275	
0.000200	0.030605	0.026498	0.994904	0.994275	
0.000200	0.035737	0.031194	0.985987	0.996183	
0.000200	0.026492	0.029757	0.991083	0.994275	
0.000200	0.023037	0.025087	0.993631	0.994275	
0.000200	0.030582	0.021321	0.987261	0.994275	
0.000200	0.034810	0.026998	0.985987	0.994275	
0.000200	0.029405	0.028819	0.988535	0.990458	
0.000200	0.026304	0.024867	0.988535	0.994275	
0.000200	0.040733	0.030395	0.984713	0.994275	
0.000200	0.036657	0.025984	0.984713	0.994275	
0.000200	0.029758	0.025155	0.985987	0.994275	
0.000200	0.014293	0.024570	0.997452	0.994275	
0.000200	0.025314	0.024944	0.992357	0.996183	
0.000200	0.025458	0.026541	0.988535	0.996183	
0.000200	0.031555	0.025197	0.992357	0.994275	
0.000200	0.029661	0.026206	0.989809	0.996183	
0.000200	0.020536	0.035991	0.989809	0.990458	
0.000200	0.033016	0.022766	0.987261	0.994275	
0.000200	0.021490	0.023923	0.993631	0.994275	
0.000200	0.041450	0.023560	0.985987	0.994275	
0.000200	0.039730	0.024980	0.987261	0.994275	
0.000200	0.026204	0.024804	0.987261	0.994275	
0.000200	0.026945	0.026593	0.993631	0.996183	
0.000200	0.036266	0.027586	0.987261	0.994275	
0.000200	0.020567	0.024013	0.992357	0.996183	
0.000200	0.031289	0.025628	0.987261	0.996183	
0.000200	0.046772	0.024547	0.983439	0.996183	
0.000200	0.023996	0.028464	0.989809	0.996183	
0.000200	0.020346	0.026750	0.992357	0.994275	
0.000200	0.021852	0.027626	0.996178	0.996183	
0.000200	0.028535	0.026850	0.988535	0.996183	
0.000200	0.027454	0.024750	0.989809	0.994275	
0.000200	0.022934	0.022745	0.989809	0.996183	
0.000200	0.036880	0.027809	0.984713	0.992366	
0.000200	0.021176	0.027434	0.993631	0.996183	
0.000200	0.028653	0.027106	0.992357	0.990458	
0.000200	0.024628	0.027275	0.991083	0.994275	
0.000200	0.026812	0.024726	0.988535	0.996183	
0.000200	0.039644	0.024763	0.985987	0.996183	
0.000200	0.035104	0.023622	0.988535	0.994275	
0.000200	0.018653	0.026829	0.992357	0.996183	
0.000200	0.028087	0.027573	0.985987	0.994275	
0.000200	0.029151	0.027830	0.988535	0.996183	
0.000200	0.031464	0.025144	0.991083	0.994275	
0.000200	0.023577	0.024549	0.988535	0.994275	
0.000200	0.028247	0.029949	0.987261	0.992366	
0.000200	0.019818	0.031050	0.991083	0.996183	
0.000200	0.030957	0.025927	0.985987	0.996183	
0.000200	0.025697	0.027237	0.991083	0.996183	
0.000200	0.023251	0.023170	0.991083	0.994275	
0.000200	0.017082	0.023676	0.994904	0.994275	
0.000200	0.033086	0.025316	0.987261	0.996183	
0.000200	0.030476	0.025933	0.987261	0.996183	
0.000200	0.030861	0.026155	0.988535	0.996183	
0.000200	0.035973	0.028543	0.984713	0.996183	
0.000200	0.030200	0.026418	0.989809	0.994275	
0.000200	0.029994	0.025320	0.987261	0.996183	
0.000200	0.017269	0.024748	0.997452	0.996183	
0.000200	0.026325	0.026810	0.989809	0.996183	
0.000200	0.033718	0.026609	0.989809	0.992366	
0.000200	0.021003	0.025386	0.992357	0.992366	
0.000200	0.018519	0.030763	0.994904	0.994275	
0.000200	0.036654	0.024207	0.985987	0.996183	
0.000200	0.026234	0.027004	0.987261	0.994275	
0.000200	0.022607	0.024990	0.991083	0.996183	
0.000200	0.027433	0.026454	0.991083	0.996183	
0.000200	0.026571	0.030240	0.991083	0.994275	
0.000200	0.028707	0.026999	0.991083	0.996183	
0.000200	0.026493	0.024204	0.988535	0.994275	
0.000200	0.021622	0.024636	0.992357	0.996183	
0.000200	0.011168	0.026941	0.997452	0.992366	
0.000200	0.019836	0.028178	0.993631	0.996183	
0.000200	0.015251	0.028178	0.993631	0.992366	
0.000200	0.026232	0.028147	0.989809	0.992366	
0.000200	0.027583	0.028690	0.989809	0.996183	
0.000200	0.020142	0.028023	0.993631	0.996183	
0.000200	0.023223	0.027309	0.996178	0.994275	
0.000200	0.027307	0.027047	0.988535	0.994275	
0.000200	0.018809	0.026438	0.994904	0.988550	
0.000200	0.017979	0.026871	0.997452	0.994275	
0.000200	0.042577	0.028067	0.985987	0.994275	
0.000200	0.029150	0.031381	0.987261	0.996183	
0.000200	0.028134	0.025201	0.989809	0.996183	
0.000200	0.028732	0.024696	0.989809	0.996183	
0.000200	0.017336	0.031780	0.989809	0.994275	
0.000200	0.022329	0.026045	0.991083	0.996183	
0.000200	0.022774	0.028976	0.991083	0.996183	
0.000200	0.035089	0.028788	0.987261	0.994275	
0.000200	0.023905	0.026269	0.988535	0.996183	
0.000200	0.019851	0.028794	0.994904	0.994275	
0.000200	0.032398	0.025846	0.987261	0.996183	
0.000200	0.022503	0.026293	0.991083	0.996183	
0.000200	0.016581	0.026483	0.994904	0.996183	
0.000200	0.025955	0.027262	0.992357	0.994275	
0.000200	0.018736	0.028080	0.993631	0.992366	
0.000200	0.033889	0.028216	0.988535	0.994275	
0.000200	0.026892	0.028393	0.992357	0.996183	
0.000200	0.024930	0.028263	0.992357	0.992366	
0.000200	0.023811	0.031509	0.992357	0.994275	
0.000200	0.024841	0.024815	0.988535	0.996183	
0.000200	0.028413	0.026760	0.987261	0.994275	
0.000200	0.028294	0.028266	0.989809	0.994275	
0.000200	0.028282	0.032288	0.992357	0.994275	
0.000200	0.014232	0.025473	0.993631	0.994275	
