Learning Rate	Avg-Train Loss	Avg-Valid Loss	Epoch-Train Loss	Epoch-Valid Loss	
0.001000	221948.802083	36512.341755	109849.718750	35561.589844	
0.001180	55641.302421	17270.730047	15781.046875	16468.152344	
0.001360	14076.676407	7435.279135	8622.374023	7462.415039	
0.001540	6046.139139	4470.631193	4561.192871	4582.918457	
0.001720	3651.755760	3039.934713	3066.022949	3113.177490	
0.001900	2610.032031	2281.134643	2315.981934	2326.573730	
0.002080	2032.628138	1951.821545	1846.632568	1983.029785	
0.002260	1667.057930	1807.868227	1647.051147	1837.644531	
0.002440	1385.599356	1474.495374	1250.970703	1463.928711	
0.002620	1206.424700	1279.571460	1132.320557	1264.395142	
0.002800	1070.471151	1026.555959	910.593994	1056.725098	
0.002980	949.453905	974.743281	791.901367	971.589722	
0.003160	812.096605	878.457297	893.420105	852.424194	
0.003340	739.848912	1188.364176	670.649658	1214.151001	
0.003520	634.047550	679.759809	547.474060	638.344055	
0.003700	531.657096	603.489311	517.826355	598.071167	
0.003880	511.140853	559.989243	382.155762	542.078430	
0.004060	448.098658	471.249627	438.427490	423.318878	
0.004240	427.680581	668.400211	606.389038	660.229309	
0.004420	484.049947	532.897511	380.350189	541.847839	
0.004600	425.769797	520.710153	353.759125	477.020142	
0.004780	400.370418	417.827534	415.649231	380.588928	
0.004960	397.116399	513.952199	374.154755	440.113800	
0.005140	394.427085	612.555261	441.748871	603.114197	
0.005320	438.262383	423.782048	314.254089	413.335114	
0.005500	394.681430	898.674348	321.197144	853.856018	
0.005680	383.134589	419.491986	325.762085	418.676605	
0.005860	370.150825	417.547274	317.352661	384.799194	
0.006040	371.868341	443.322467	346.536316	367.048737	
0.006220	368.293861	435.988479	431.861908	396.609375	
0.006400	370.104070	540.670916	289.366272	422.223724	
0.006580	368.616852	462.594252	784.871460	436.910828	
0.006760	391.794217	417.817906	361.794769	423.674622	
0.006940	366.629900	445.475635	303.977417	408.578033	
0.007120	359.168547	406.920737	347.965820	391.297028	
0.007300	361.313273	466.480498	579.651062	468.400055	
0.007480	389.682064	507.002679	327.100952	501.149323	
0.007660	366.831326	426.133246	395.539124	437.705353	
0.007840	364.232288	496.043013	329.151001	624.598511	
0.008020	352.375202	404.882457	387.804443	353.069214	
0.008200	350.611917	411.613004	357.288574	355.928864	
0.008380	350.292177	422.021885	400.790985	373.947754	
0.008560	357.789205	453.043323	300.427246	410.100220	
0.008740	353.186422	447.898301	301.910461	436.787170	
0.008920	349.985766	395.246848	288.449036	358.939850	
0.009100	342.166933	373.926636	293.240662	360.003693	
0.009280	336.021101	408.730767	202.737228	373.086090	
0.009460	339.462597	433.799981	390.128235	375.833466	
0.009640	349.381067	470.462770	330.027893	506.214081	
0.009820	345.308523	572.650467	295.013275	454.727814	
0.010000	338.565850	427.751699	306.971283	397.097015	
0.009820	334.551990	569.869117	391.194031	535.613770	
0.009640	345.377059	404.235624	383.616455	400.530670	
0.009460	361.930184	398.790679	291.900238	345.315765	
0.009280	339.861250	409.874631	294.116180	352.817627	
0.009100	338.509276	388.710517	330.470276	349.171875	
0.008920	331.699981	365.490678	296.175110	309.706818	
0.008740	330.487068	397.743281	275.977509	321.206421	
0.008560	324.364210	368.421989	295.791565	322.696899	
0.008380	326.672591	399.940241	312.710785	345.158813	
0.008200	324.695390	368.377170	298.904388	334.656891	
0.008020	323.051893	367.692305	281.457794	331.835510	
0.007840	315.138347	371.705821	278.194092	329.390839	
0.007660	319.070027	360.951917	303.601257	325.101074	
0.007480	317.047287	362.329375	401.568420	348.553101	
0.007300	316.725011	374.554261	339.586029	320.463196	
0.007120	317.655051	377.385695	305.752258	324.451843	
0.006940	311.762298	362.250321	293.953003	318.506958	
0.006760	311.739561	357.246830	277.616211	334.074982	
0.006580	309.059228	394.086473	568.430664	344.227570	
0.006400	317.273783	375.698778	324.329041	354.293182	
0.006220	313.067445	381.511061	568.484497	381.455200	
0.006040	375.601543	470.362725	456.102051	445.689117	
0.005860	394.752784	431.509849	318.168610	359.999573	
0.005680	343.524980	400.656647	322.695801	397.053284	
0.005500	332.638819	378.973648	298.387878	336.979889	
0.005320	323.661558	359.341179	305.979858	315.568481	
0.005140	319.403725	380.922351	368.525635	330.496735	
0.004960	320.849250	377.140768	324.799988	331.604645	
0.004780	314.436150	370.991680	337.478058	355.131500	
0.004600	316.148745	357.386326	298.498749	301.777008	
0.004420	308.305784	365.791851	285.611023	320.039948	
0.004240	307.140729	350.802128	294.882812	318.876465	
0.004060	307.158598	358.987577	333.431152	302.560059	
0.003880	301.108418	355.575376	340.208160	306.902618	
0.003700	303.145714	352.040976	265.476624	319.653137	
0.003520	301.432507	360.114480	308.647034	334.134949	
0.003340	298.795318	360.421176	278.643188	367.801483	
0.003160	298.060372	355.281591	192.462555	334.991486	
0.002980	296.920700	352.760559	272.131927	339.979980	
