Learning Rate	Avg-Train Loss	Avg-Valid Loss	Epoch-Train Loss	Epoch-Valid Loss	
0.001000	189618.048639	101574.779990	102686.023438	98488.234375	
0.001180	49032.511719	19126.624811	21253.332031	18635.613281	
0.001360	12034.304031	7947.670946	7053.581543	7953.787598	
0.001540	5099.678005	4284.922426	3822.113037	4277.330078	
0.001720	3179.681121	2824.356461	2700.772949	2824.950928	
0.001900	2353.796759	2190.666472	2090.747070	2156.793701	
0.002080	1866.781201	1771.541268	1626.999390	1713.414062	
0.002260	1551.149100	1595.045516	1357.146118	1553.399292	
0.002440	1351.864734	1315.172808	1251.737671	1297.828735	
0.002620	1212.978846	1215.019019	1213.746094	1163.772339	
0.002800	1121.232067	1082.496917	1013.498230	1031.091187	
0.002980	1032.497075	1214.168638	955.765808	1211.221558	
0.003160	915.257310	899.603273	866.285828	854.555115	
0.003340	812.174226	897.685750	707.403503	871.683533	
0.003520	737.993270	773.378475	631.259583	745.555176	
0.003700	697.850953	726.879206	642.999451	705.950012	
0.003880	673.108731	873.566188	699.791626	851.600037	
0.004060	670.576509	784.303500	642.139282	794.979919	
0.004240	649.611853	682.977445	625.931641	653.739258	
0.004420	629.603943	707.573738	545.306091	674.500610	
0.004600	623.971170	796.056975	587.319275	785.319763	
0.004780	620.043809	722.720666	602.097961	640.622498	
0.004960	625.676353	678.894232	565.190857	645.762390	
0.005140	611.954749	725.955480	683.449402	669.854004	
0.005320	600.835115	810.960843	610.630066	680.012146	
0.005500	597.938428	729.414013	553.569458	698.163635	
0.005680	593.844047	658.504960	642.432922	639.476990	
0.005860	596.459932	768.867373	552.645264	649.689636	
0.006040	595.079877	657.512853	634.014771	635.309753	
0.006220	592.077641	629.652046	565.040649	593.181580	
0.006400	586.866734	650.537294	674.344788	604.011169	
0.006580	583.001496	702.419150	524.295410	631.788574	
0.006760	580.365621	726.657437	651.515198	600.328064	
0.006940	582.465583	631.024398	540.733826	601.460510	
0.007120	575.172244	649.874856	658.765564	590.089722	
0.007300	571.104037	633.787694	543.505066	604.136353	
0.007480	569.948133	738.360564	584.179321	696.274170	
0.007660	577.233139	840.268590	542.836121	787.383423	
0.007840	571.642811	653.824305	616.037781	630.558899	
0.008020	567.769300	641.098556	560.541199	621.689392	
0.008200	568.762134	766.310350	583.654297	694.480164	
0.008380	566.346301	630.184566	545.587952	593.726685	
0.008560	565.364120	645.178712	637.918579	618.576782	
0.008740	559.841609	622.797613	545.118896	593.257080	
0.008920	556.999658	628.164419	617.605896	638.682190	
0.009100	558.453293	690.974704	498.014648	600.808533	
0.009280	556.873701	658.789448	590.223145	603.848145	
0.009460	558.224392	652.650001	536.822083	564.391113	
0.009640	555.368534	661.990792	546.653809	631.843018	
0.009820	563.470588	698.773089	512.284180	638.642395	
0.010000	554.960307	687.346447	537.662781	671.512878	
0.009820	545.486291	667.824746	604.618591	667.833923	
0.009640	548.808837	608.688212	555.213745	596.012634	
0.009460	543.441711	662.905915	553.093689	612.445374	
0.009280	537.166761	621.284599	512.910583	594.513672	
0.009100	533.090460	636.094437	511.813782	563.416321	
0.008920	530.733499	621.250421	478.330048	616.797485	
0.008740	523.622712	628.063390	533.379395	568.333496	
0.008560	526.733450	624.818596	534.266907	622.264465	
0.008380	519.735598	642.232075	534.390808	621.204834	
0.008200	523.051874	617.575006	461.253967	597.381714	
0.008020	516.289576	619.706662	562.600281	590.561523	
0.007840	521.594860	778.693288	597.114563	629.066833	
0.007660	521.673248	626.372135	513.974731	586.051392	
0.007480	515.459380	623.246645	489.408539	565.901855	
0.007300	508.521812	607.268175	485.415344	554.310608	
0.007120	503.745369	680.488862	483.604065	609.945618	
0.006940	512.343644	661.899089	552.406555	620.118591	
0.006760	511.280719	622.062721	562.773743	591.883972	
0.006580	510.700746	630.033020	533.137634	583.353638	
0.006400	498.254988	637.283819	517.764343	586.525879	
0.006220	498.380705	626.210700	480.019012	597.926208	
0.006040	492.647769	627.989277	553.069580	622.962219	
0.005860	490.780999	616.056809	555.407410	565.499451	
0.005680	491.757630	622.373853	474.476654	568.754700	
0.005500	484.859618	621.007794	504.265533	558.037109	
0.005320	482.726442	657.164368	509.738922	586.681030	
0.005140	484.406723	645.171372	472.900391	582.019836	
0.004960	477.187704	642.205486	537.787048	599.118774	
0.004780	478.118035	646.160476	468.399963	599.275818	
0.004600	475.432203	644.172947	514.483826	628.001526	
0.004420	468.646064	638.184138	431.561127	595.586853	
0.004240	463.002868	628.787285	432.334473	578.192383	
0.004060	460.110401	651.107799	431.528412	576.520447	
0.003880	455.643406	633.172273	499.025360	646.219604	
0.003700	454.816053	646.086189	471.310944	565.428650	
0.003520	453.492211	694.731600	436.963531	636.423767	
0.003340	447.628686	634.316155	495.709045	598.702026	
0.003160	449.875365	664.698019	437.598236	614.614197	
0.002980	448.192398	643.288256	424.906830	642.345154	
0.002800	439.293028	663.230867	423.890869	606.255371	
0.002620	439.880962	658.524410	382.892731	631.679504	
0.002440	430.521883	652.109074	420.897308	635.653015	
0.002260	431.635718	665.125581	398.558624	625.763123	
0.002080	428.991918	662.225312	382.079803	590.932068	
0.001900	425.700790	655.758655	376.256927	568.258362	
0.001720	421.308694	666.067267	456.296478	601.032776	
0.001540	413.419867	670.209509	440.799805	628.847778	
0.001360	410.945572	680.252742	456.804199	586.829285	
0.001180	411.021766	676.299387	414.726471	607.507019	
0.001000	409.436767	689.739612	432.463348	588.688599	
0.001090	403.897779	673.743807	392.757690	624.855225	
0.001180	407.473388	702.536554	417.083557	608.445496	
0.001270	404.101056	690.298273	381.881287	625.950134	
0.001360	401.086979	694.605945	416.410065	638.551636	
0.001450	402.590291	683.853215	410.121399	581.498657	
0.001540	404.835515	703.616051	446.273102	573.692810	
0.001630	401.625909	698.965704	428.035126	606.031921	
0.001720	411.883759	687.229902	415.525391	634.275818	
0.001810	404.639933	677.528816	378.338928	696.948547	
0.001900	406.852119	682.711605	389.035248	654.769226	
0.001990	408.919059	679.147169	387.609589	643.573364	
0.002080	405.799865	684.187914	401.047028	582.555603	
0.002170	407.730120	738.987409	392.018433	658.080261	
0.002260	411.077295	683.723763	410.309875	648.064453	
0.002350	413.830987	705.374226	436.293365	643.241882	
0.002440	418.545763	667.019754	403.975555	617.112732	
0.002530	414.151206	687.517539	385.159729	638.235107	
0.002620	412.698955	691.868219	465.132721	672.697205	
0.002710	424.714338	705.961702	461.892151	691.216431	
0.002800	429.782492	669.282036	457.737610	662.391602	
0.002890	430.295374	667.856575	417.890930	652.098572	
0.002980	422.372779	687.087026	388.441437	654.644958	
0.003070	420.900293	700.182540	443.412842	605.068359	
0.003160	420.545765	692.534615	437.907135	639.775574	
0.003250	423.323917	681.506864	456.788177	649.131775	
